,Date,Review_Score,Name,Review_Text
0,"September 10, 2019",3,Kapil sharma,app is making my phone hang sevaral time ..also fone gets restart automatically several times a day after accessng the app.. also hangs restrt session and have to manualy reset to start fone again...also when trusted..finger print gets locked and then it not unlock even with pin code and have to res...Full Review
1,"August 21, 2019",4,Gatos delamuerte,"""SIM tool launches before the page is done loading blocking the check text"" this has been fixed. as for the update ""We’ve also made it possible for you to check your account balance without logging into the app [by adding another app]"". this was possible in the OLD app, why would I need 2 different ...Full Review"
2,"August 16, 2019",3,Stig Martinus Fromreide,"I have been using the old and new version of the same thing is a good smartphone and tablet or just want to do anything else than the other stuff that I Know that you are doing the best of all the most important things too fast and easy to use the old and the best possible way to do it is by no means to find the best possible way to get out and it's just the old school and get to find the best possible way of doing it in a new version of the best way to get out and go back to, the bank"
3,"August 21, 2019",1,Daniel Kling,
4,"August 27, 2019",1,Kedron Thue,
5,"September 7, 2019",2,Shan Ifzal,
6,"August 21, 2019",4,Jens Powelson,"Worst app ever? Slower and affords less privacy and security than accessing banking through the browser on your phone or computer, only usergroup I can imagine benefitting from this is DnB's marketing division."
7,"August 15, 2019",1,Rasmus Jonssønn Skramstad,"Har ikke root tilgang, kommer fortsatt ikke inn. Får feilmeldingen  ""𝗧𝗵𝗲 𝗺𝗼𝗯𝗶𝗹𝗲 𝗯𝗮𝗻𝗸 𝗶𝘀 𝗯𝗹𝗼𝗰𝗸𝗲𝗱"" You cannot use the mobile bank on this device. That's because devices that have been altered (𝗿𝗼𝗼𝘁𝗲𝗱 ) pose security risks. Har heller ikke installert noen tredjeparts-apper, ...Full Review"
8,"August 20, 2019",3,Sanderstar 03,
9,"August 27, 2019",5,Roger Larsen,"After the recent update, I can now log into the app. Works as intended."
10,"August 22, 2019",5,Sabasten Usen,
11,"August 21, 2019",1,Kai Ove Polzien,
12,"April 15, 2019",3,Bertan,Edit: Been a couple of weeks now since my last review and it seems quite a lot of the smaller features have been fixed. Unfortunately though for me (I dont know if it applies to others) whenever I am required to log in with my bankID (either to log in or to make payments) it wont work. It gets stuck...Full Review
13,"May 19, 2019",2,Zdeněk Zikán,"The few last updates are horrible. I have to log in even if I don't do any active operation. Application logs me out randomly. Loading times are much slower, navigation is awfully slow even on a powerful phone and fast connection. Spending button is greyed out for no obvious reason. Most of the butt...Full Review"
14,"May 23, 2019",1,Ifi Ghtdragons,"Biometric login hardly ever works. The app is constantly down and not available through neither of the login options. Feels like you're rolling the dice, which is NOT a suitable feeling for a banking app. Have to login to view account, or use a widget which completely ruins your wallpaper, so not a ...Full Review"
15,"May 29, 2019",4,Anthony French,"been trying for a month to log in, no matter which log in option i choose it says there was an error. called dnb and they said to fix it just restart your phone. Still didn't work. I will note that it did work fine when I first got it. i think the latest update has broken it. Got it fixed now after ...Full Review"
16,"June 20, 2019",1,Antal Feher,
17,"June 20, 2019",1,Mevlut Simsek,What is the point of having this app if we have to enter onetime code for everything??? Loading time is awful!!! Can not login most of the time - try again try again try again!!!
18,"August 21, 2019",5,Boniface Pay-Pay,
19,"June 11, 2019",4,Aleksander Våge,"A good overall app, simple and understandable UI, does what I expect from a mobile bank app. An improvement would be if I could use either my iris recognition or fingerprint while both are enabled. On my Note 8, it only allows for iris if it's enabled, this doesn't work that well with sunglasses during the summer."
20,"May 25, 2019",1,Sergio Silveira,"What a tire fire! So now I can login, after trying the app again after a couple of monthts, but guess what? It cannot show my account! I'm trying to stay polite, but with all that money you can't build a proper app? Seriously..."
21,"May 5, 2019",2,kyle sorbie,New version is worse than the old. Why do I need to enter bank ID every time I log in? Can't this app work with Samsung biometrics and can open it with your finger print?
22,"April 14, 2019",1,Mohammed Al-Eqabi,
23,"May 3, 2019",2,Bob Clarke,
24,"May 9, 2019",1,Glodis - Kaba,
25,"June 22, 2019",2,leochan0608,"this version even worse than its previous one. this version is rabish, nothing to compare with sbanken app."
26,"April 7, 2019",1,Usman Ali,
27,"April 20, 2019",5,Adam Price,
28,"April 5, 2019",1,David Brandham,
29,"April 28, 2019",1,J,consistently receive error message when logging in. it never works
30,"May 1, 2019",4,Brendan Ward,
