,Date,Review_Score,Review_Text
1,"March 26, 2019",2,"kind of all right, but it is impossible to see if a news item is video or text - and as video often starts up with sound on, this app is next to useless for me. i need to be able to control sound."
2,"July 7, 2019",5,"hadde vært fint om dere kunne ha lagt til mørkt tema i appen, ellers helt topp 👍"
3,"May 27, 2019",5,"veldig bra, fint at nrk kom med en ordentlig applikasjon"
4,"May 27, 2019",5,helt utmerket. har ventet lenge på en nrk app
5,"May 7, 2019",4,dere må få darkmode
6,"July 31, 2019",5,great app
7,"March 4, 2019",5,helt konge! skulle bare hatt darkmode...
8,"August 10, 2018",4,"appen er fin, men jeg savner mulighet til å skreddersy hva slags nyheter 
jeg får varsler om."
9,"September 29, 2018",5,"funker, dog kunne tenkt meg pinch to zoom i nettleseren og valg av kategorier for nyhetsvarsel."
10,"February 11, 2018",2,"installerte denne primært for å få varsel om viktige nyheter/hendelser, men verken trond giske eller ol er noe jeg føler er viktig nok til å bli varslet om. det burde være et valg for nyheter som vanligvis fører til ekstrasending, resten får jeg med meg på vanlig måte."
11,"March 16, 2018",4,"det eneste jeg savner er å kunne endre ""notification"" lyden til appen. det hadde vært veldig greit å kunne høre att det er nrk appen jeg får melding fra. en nattmodus med mørkere farger hadde også vært et stort pluss."
12,"March 1, 2018",4,great way to practice learning norwegian :-)
13,"November 11, 2017",1,"it doesn't show the news page properly on my note 8, it flashes and then shows a blank screen."
14,"September 16, 2017",2,appen liker ikke vpn.
15,"August 27, 2017",1,forrige versjon var langt bedre. horisontal scrolling for siste nyhetsinnslag fungerer ikke. hvordan kan jeg gå tilbake til forrige versjon?
16,"December 1, 2018",5,"godt design, bra funksjonalitet"
17,"August 7, 2017",3,"helt ålreit app, men greier ikke helt å se vitsen med den når jeg like greit kan sjekke nettsidene. om jeg kunne ha bestemt selv hva slags saker som kom opp på forsida kunne det vært et poeng for meg , å ha kategoriene jeg er interessert i samlet på ei egen side er ikke det samme.  liker at jeg kan ...full review"
18,"July 29, 2017",3,grei app for gratis nyheter. savner søkefunksjon for å finne konkrete saker.
19,"June 28, 2017",1,"denne appen er fullstendig ubrukelig. ingen horisontal modus, ingen beslektede saker. idiotiske deleknapper på forsiden. hvorfor dele noe du ikke har lest enda? horisontal rulling av nyheter, hva har dere røyke egentlig?  dette er fortsatt for dårlig."
20,"January 5, 2018",3,hvor ble det av søkeknappen?
21,"May 19, 2017",5,flott! ingen klager om appen.
22,"April 7, 2017",5,im happy with it. good j8b!
23,"March 14, 2017",1,"verre og verst! foer var den burkbar paa en maate, men naa, huff huff"
24,"March 1, 2017",1,innstillinger blir ikke lagra. kan ikke søke. avinstalleres.
25,"February 22, 2017",1,please make it possible to zoom.
26,"February 6, 2017",2,utrolig treg til å laste ned sidene.  ui er god.  hadde vært genialt om radio og tv var integrert.
27,"December 22, 2016",5,"veldig bra design og utforming av navigering og artikler. kjapp og resposiv. måtte ta omstart på mobilen for å få appen til å fungere, til tross for gjentatte avinstalleringer og installeringer."
28,"December 8, 2016",2,"present version of app is worse than previous. clean layout: yes, easy access to news and articles :  no."
29,"December 5, 2016",3,i would like to turn off vibration for notifications. and get no notifications during the night.
30,"November 12, 2016",1,"den nye er tungvint og uoversiktelig. buggete og treg. som et glansbilde, fint på fremsiden men ingenting bak."
31,"August 17, 2015",3,"bra app, men litt utdatert ui? blir noen ganger låst til et zoom-nivå uten å klare å zoome ut når man går fra landskap til portrett på hjem-siden. fikses når jeg trykker på en artikkel og så går tilbake igjen til hjemmesiden."
32,"April 15, 2015",4,"super app, men er litt synd at ein ikkje kan gå direkte inn på tittelen som kjem opp som notifications på telefonen (går inn på forsida). elles strålande nøgd! :)"
33,"May 22, 2015",1,appen henger seg ofte opp så jeg må lukke den og åpne på nytt igjen. spesielt når den har vært åpen en stund. radio fungerer svært dårlig. beklager nrk. jeg hadde forventet mer av dere. skal ikke nrk være en riks kringkaster tilgjengelig på alle plattformer?
34,"February 14, 2015",2,cannot search with keyboard [jbak and hacker's]
35,"January 15, 2014",3,hvis appen legges i bakrunnen blir nyhetsiden blank. da må jeg avslutte og begynne på nytt.
36,"October 3, 2013",5,topp
37,"August 17, 2013",2,"som den forrige nrk radio-appen hopper avspillingen fram og tilbake, rene flettverket. svært ofte hopper avspillingen helt ut, og du må starte programmet på nytt. fint med tilgang til programmene, med musikk under streaming, men hva hjelper det når musikk og prat stokkes uavlatelig?"
38,"July 2, 2013",1,fungerer ikke på samsung galaxy s4 etter siste oppdatering
39,"June 25, 2013",1,disconnecter  hele tiden.
40,"June 21, 2013",1,denne appen var meget bra helt til nå. nå spiller radio bare noen sekunder så stopper det. så ikke poenget med å forandre på noe som allerede funket
