,Date,Review_Score,Review_Text
1,"February 4, 2019",2,"i really enjoyed the app, it was easy to send and keep track of packages. but now i am unabke to log in, the app keep closing after i press login despite reinstall, updates and everything. frustrated!"
2,"February 21, 2019",5,"i usually purchase a lot online and with this app, i can track all my purchases and sending. the fact that i can scan my parcels makes it all the more attractive. it is straight forward and really easy to use."
3,"December 15, 2018",1,"terrible application, one would think a major update could fix issues, but i stil cannot see my addresses in the app. only errors. maybe invest in better minortoring and logging software?"
4,"November 27, 2018",3,"the updated ui is really awful. huge fonts, terrible design, the red background is very distracting. also there seems to be less information available.. can we have the old app back please?"
5,"November 27, 2018",1,"delivered packages are not automatically moved to delivered, cannot delete the packages either. new design is not good, old was fine!"
6,"August 30, 2019",5,awesome app. i love it
7,"December 4, 2018",2,it works well but damn the user interface is ugly.... time to update the ui??
8,"December 15, 2018",1,crashing when trying to log in. useless.
9,"February 4, 2019",2,"i live in norway and this app could have really helped me, but i have a finnish phone number so i could not register"
10,"February 14, 2019",2,sad app does not update info and is very simple ..
11,"January 21, 2019",5,very nice and user friendly app
12,"February 14, 2019",5,helpful and easy thanks.
13,"August 22, 2019",5,"pakker som er levert havner på fremsiden som ""pre-notified"". selv om jeg sletter dem."
14,"July 12, 2019",4,den app er kjempe bra fordi det gjør det lettere å få informasjon om forskjellige pakkene! kjempeflott jobb! 👏
15,"June 6, 2019",1,"skulle hatt 3, men nå sier appen at alt jeg sender er på vei til meg!!. og rekommanderte brev til england kan ikke spores lenger enn langley / heathrow, får ikke bekreftelse på levering. til 270 kr er dette ikke akseptabelt for viktige originaler som koster formuer å få tak i igjen, og dagevis arbei...full review"
16,"June 24, 2019",1,requires login
17,"April 14, 2019",4,"den nye appen var for dårlig ved release, men har blitt kraftig forbedret!"
18,"February 21, 2019",1,hvordan blir jeg kvitt mottatte forsendelser som er utlevert? nei det nytter ikke å slette den fra detaljbildet. den er tilbake ved neste oppfrisking av lista.
19,"February 2, 2019",5,ryddig og intuitivt design
20,"February 1, 2019",5,so far
21,"February 2, 2019",3,uffda
22,"January 30, 2019",3,"archive function is great, but it does not always move selected item from recieved to ""archived"". untracable items revieved in mailbox should be movable regarding status."
23,"January 29, 2019",2,"etter den seneste oppdateringen så dukket det opp en pakke jeg hentet i februar 2018, sletter jeg den fra listen med forventede pakker så kommer den tilbake neste gdng jfg oppdaterer listen. edit 29/1: fortsatt samme pakke som ikke kan slettes, kommer tilbake så fort jeg oppdaterer."
24,"December 21, 2018",5,veldig bra språkvalg ble lagt til.
25,"December 13, 2018",3,"ny ""posten"" app - info om ""tollbeløp"" på pakker underveis er forsvunnet (var tilgjengelig i ""sporing"" app.)"
26,"December 13, 2018",5,det er kjekt å sende pakker med sporing. det er dog langt billigere måter og sende småpakker på. appen burde presentere de mer varierte sendingsmåtene (brevpakke) også.
27,"December 14, 2018",2,hvor er er det blitt av tollkostnadene? og hvorfor på engelsk? rull tilbake til forrige versjon!
28,"December 14, 2018",3,posten norge på engelsk? hva i alle dager. vi vil ha norsk!
29,"December 17, 2018",2,savner den gamle versjonen allerede
30,"December 14, 2018",2,hvorfor det er på engelsk?!!! det er så dårlig nå...
31,"December 14, 2018",2,nytt design er forferdelig.. og engelsk? posten kjenner norge best..
32,"December 14, 2018",2,"etter oppdateringen finner jeg ingen mulighet å endre språket til norsk (uten å endre språk på hele mobilen til norsk) ellers ser appen finere ut, men alt for rotete interface. forrige versjon var mye mer oversiktlig. dere burde også se på hvordan appen håndterer innkommende pakker uten oppdatert st...full review"
33,"December 4, 2018",2,"(4.des 2018) kan ikke fordra det nye designet. veldig lite oversiktlig.( for lite kontrast.) og alle pakker er bare et spørsmålstegn som ikon. derfor 2stjerner, endrer karakter når fikset."
34,"November 7, 2018",1,det nye designet er jo aldelses grusomt. hvem i allverden kunne få seg til å lage noe så stygt? den gamle versjonen var jo helt fin. ikke noe poeng i å endre bare for å endre?
35,"November 19, 2018",1,endringen er forferdelig mye vanskeligere å finne fram i appen
36,"October 31, 2018",1,"den nye versjonen (4.2.2) var rett og slett skrekkelig. få bort den røde bakgrunnen. hadde jeg ikke vært helt avhengig av denne appen, hadde jeg avinstallert den!!!"
37,"June 27, 2017",3,"hvis google inbox er åpen samtidig i bakgrunnen når denne appen startes, dukker feilmeldingen ""inbox has stopped"" opp hver eneste gang. ellers ingen problemer. (android 7.0)"
38,"August 29, 2017",1,"there already exist a lot of better tracking apps which tracks posten, bring, postnord and every other package service in the world.  every single one i tried was better than this app. this app falls into the category of 'glorified webpage'. because it really offers nothing but a slight convenience."
39,"July 13, 2017",2,for å bruke denne appen må man registrere seg med mobilnummer. det vil jeg ikke bare for å spore pakker.
40,"September 4, 2018",1,"useless app that only accept norwegian and scandinavian phone number. all of us located in other countries, can not register and use this app. lite gjennomtenkt, posten 1*"
