,Date,Review_Score,Review_Text
1,"September 18, 2019",2,"it works but ""noe gikk galt"" error that follows any interaction with the app and has to be clicked to continue -which brings me back to wherever i wanted to be. doesn't break anything but it is very annoying."
2,"September 15, 2019",1,"this app is worse than ever. it was a downgrade not an upgrade. with their new ""update"" they messed up everything. crashes on start. now i can't login. the button order was switched. no exit option. somebody should test before releasing..."
3,"September 6, 2019",1,crashes on startup. has been doing so for 2 months and no fix has been published. still crashes on startup. am using android 9.1.0 on a bla-l29 (huawei mate 10 pro) phone.
4,"September 13, 2019",3,"nice and clean app, works 90% of the time. but no english version yet."
5,"November 8, 2018",2,"the app from ui experience perspective is simply a mess with illogical navigation and inconsistent design. the main page has a menu toolbar at the bottom which disappears once you click on one of the buttons. the oversikt page is almost identical to the main page, only with different betale, overfør...full review"
6,"February 1, 2019",1,"since the last update the app has stopped functioning on my htc u11 it gets to the login screen for fingerprint but does not accept the fingerprint, neither will it log in with the app code. totally broken."
7,"November 27, 2018",2,you ask me to upload some documents but i can't in the app. i only can press last opp and nothing happens...
8,"December 18, 2018",3,is it possible to set default language of app to the english?
9,"September 11, 2019",5,very good app
10,"September 18, 2019",1,"noe gikk galt... slapp av, det er ikke din feil. bla bla bla.... useriøst 🤬 bruk hide root, eller bare avinstallere denne sjiten"
11,"September 18, 2019",1,"denne nye, påstått fantastiske versjonen kan vel egentlig oppsummeres slik: ""noe gikk galt""."
12,"September 22, 2019",3,fingerprint reader stopped working on android 10
13,"September 20, 2019",4,"appen funker fint, men syntes vi burde få mulighet til å ta skjermbilde i appen"
14,"September 19, 2019",1,"veldig glad i sbanken med dere bør jo teste ut nye oppdateringer litt mer før de lanseres! krasjer konstant og kommer opp ""noe gikk galt"" hele tiden etter den siste ""oppdatering"" - som jeg egentlig også synes har en mindre intuitivt ui enn før. dere driver en bank, ikke en snapchat lignende app for ...full review"
15,"September 16, 2019",1,"det er ikke oppgradering men nedgraderingen! har dere ikke testet før dere la den ut for nedlasting? etter ""oppgradering"" klarer man ikke å gå bak når man bruke bak knappen eller gå ut fra appen etter logget seg ut (sitter fast på loginn side). håper dere fikser feilene så fort som mulig."
16,"September 17, 2019",1,"var bra. nå kræsjer den for annenhver funksjon 'noe gikk galt, det er ikke fin feil' er ikke en nyttig beskjed! appen har blitt nær ubrukelig :-("
