,Date,Review_Score,Review_Text
1,"September 15, 2019",5,"great app. the best part is that it comes in english as well. about the bank itself, account opening was so easy, i got the bankid quickly, credit card as well (whereas other banks were focusing on what i didn't have, for example rfid chip on passport)."
2,"August 29, 2019",5,"nice app, first i didn't know that you could set the language to english when you install the app, but now that know it and have set its ui's language to english i feel this app is great! before doing that, i could not use the app very well because the ui was in norsk."
3,"September 7, 2019",4,the ui part seems to be very nice and this app is user friendly. if this app have option to change language to english then it would be great.
4,"September 9, 2019",4,"hi, can you please add english as an optional language for the app? non-norwagia customers of sparebank having trouble to operate the app."
5,"August 19, 2019",5,banking app must have support for english language. update: future is here.. how long we have to wait for english language support... give this project to our company we will help u. update: i am really very happy.. thanks a lot for listening to your customer.
6,"August 26, 2019",5,"near flawless and easy to use. i've seen more user friendly apps, but it's not bad enough to not give five stars."
7,"August 3, 2019",5,"very useful and very practical! amazing app, highly recommended if one wants easy view of their salary, finances etc."
8,"August 21, 2019",5,very lovely that there is english language support! after how many years. thanks!!!
9,"August 16, 2019",5,"great app, not sure if other language options are available, which would be really great."
10,"August 5, 2019",4,crashed on launch. requires webview to function. works after installing.
11,"August 20, 2019",5,"good banking app, (now with english language option, just updated to 5 stars!)"
12,"August 25, 2019",2,there are some issues with (betal) it's dosent work often.
13,"August 7, 2019",1,could not use it. there's no english option.
14,"August 14, 2019",3,this app should have english language option as well.
15,"July 9, 2019",2,"mobile banking is not good as dnb. always i face problem to log inn through mobile id.  i do not know what type of app sparebank 1 has made it. i am not satisfied with this service.   regards,"
16,"September 12, 2019",3,cant get my account to show something wrong..
17,"August 29, 2019",5,"thank you for the new update, now it's much better. keep up the good work😁👍"
18,"September 15, 2019",5,simple and helpful
19,"August 14, 2019",4,good experience witht the app and easy to use :3
20,"July 29, 2019",5,app very good and great service in this bank
21,"June 4, 2019",4,"very good app. if you want to check immediately your balance. but i thing for more safty they need to put the ""codebrikke code"" as option if you want to log inn"
22,"April 7, 2019",5,easy user interface. quick response app. fully satisfied.
23,"May 6, 2019",4,have very rearly problems with this app and it is easy to use and navigate.
24,"September 12, 2019",5,no problems so far.
25,"August 20, 2019",5,good experience... finally in english 🙂
26,"May 7, 2019",5,its very easy and convenient.
27,"April 15, 2019",5,very easy and nice app.
28,"July 12, 2019",3,please have a mobile version :(
29,"May 11, 2019",5,works well and is easy to use!
30,"June 8, 2019",1,i cant use an app properly because it is no english laguage also app do not accept my pasword and pin
31,"March 25, 2019",2,"every time the app update i have to register, even using the same device, i have to create a pin code even though i already create one, have to activate the fingerprint option again, this is annoying, why is not keeping the data? is there any way to have the app in english? is weird that being one o...full review"
32,"October 22, 2018",5,"it's an simple app. use it every time i'm buying something, and you should make a english version it's actually quite simple as you only need to translate the norwegian to english and simple scripting, highly recommended. best regards christoffer."
33,"April 30, 2019",5,best mobile bank app ever!!!
34,"September 28, 2018",4,"very pleased with it. much better than similar banking apps i've tried. you can do most basic things, stick add party bills, review accounts, transfer between accounts, check on yours loans etc."
35,"May 15, 2019",3,is there a way to translate the app in english?
36,"January 12, 2019",4,i like that app is getting better and better but will be nice to get english as an option and garmin pay or google pay will be nice to have it. (like nordea or dnb).
37,"August 26, 2019",5,makes everything easy
38,"February 6, 2019",2,would be great if you can you can include english language in the app. its very different to use for people coming from outside norway.
39,"March 31, 2019",4,that would be great to have english interface.
40,"September 27, 2018",4,i like the app and it almost entirely replaced the website for me. but please consider having an english version...
41,"February 22, 2019",5,it is amazing and very convenient but the thing is i dont know how to translate this into english.
42,"January 21, 2019",5,"the high ratings are well deserved, this truly is the best mobile banking app in norway."
43,"January 26, 2019",5,works perfect. still needs some improvements like taking the picture of the invoice etc
44,"November 24, 2018",3,i like the app but i'd love if you could make it possible to use it in english. i'd give more stars if that was the case...
45,"May 24, 2019",4,"good app, i really like it!"
46,"August 23, 2019",4,please for heaven sake have the app in english too
47,"September 12, 2018",4,"it is a good app but i am confused, how can we translate the norwegian langue to english??? is it possible??"
48,"September 1, 2019",5,very well done!
49,"January 31, 2019",5,"good app, seems to be safe and shows you all the information"
50,"September 28, 2018",5,"easy to use, quick and i do not have complaints."
51,"December 5, 2018",3,"app is ok,but technical errors are to often."
52,"August 1, 2019",4,could be developed. but good enough! 😊
53,"March 18, 2019",5,its very good. but only in norsk.
54,"September 13, 2019",5,english please! edit:thanks for adding english!
55,"April 6, 2019",5,easy to use.
56,"September 9, 2019",5,whit english language is perfect now
57,"October 14, 2018",3,this app is under too much maintaince and you can't use the app some times.
58,"February 7, 2019",5,very useful and easy to use
59,"March 13, 2019",5,works pretty good and easy to use.
60,"July 10, 2019",5,very well designed app
61,"March 29, 2019",3,how to change language from norwegian to english in the app?
62,"August 20, 2019",5,thanks for adding english language.
63,"February 4, 2019",5,simple and fast.
64,"September 20, 2019",3,east to use
65,"February 13, 2019",5,love itit is to easy and fast
66,"August 20, 2019",5,with english support kudos to the team
67,"November 6, 2018",3,would like to see an english version soon
68,"December 20, 2018",5,bra app. full oversikt
69,"February 5, 2019",5,professional and secure.
70,"August 20, 2019",5,thanks for adding english language. now i can give 5 stars.
71,"August 20, 2019",1,"so you guys never answer to emails? edit: no is not resolved, still waiting on answer"
72,"October 12, 2018",5,please add english language
73,"September 23, 2018",4,pretty handy app
74,"December 17, 2018",3,how can i open spare konto? did my money increase if i start savings money on spare konto
75,"April 11, 2019",5,good bank app
76,"September 22, 2019",5,nyttig i guess
77,"September 18, 2019",5,veldig bra.
78,"September 16, 2019",5,please add dark theme
79,"September 10, 2019",5,highly recommended
80,"August 24, 2019",5,"super nettbank. enkel og grei, får gjort det meste."
81,"August 25, 2019",5,works great
82,"August 19, 2019",5,thanks for bringing back english language in app..
83,"August 21, 2019",5,bra!
84,"September 1, 2019",4,👍
85,"August 20, 2019",5,knall
86,"August 3, 2019",2,"begynner å få gode funksjoner og tilganger inn, men ligger alt for langt etter på foto-innfylling av regninger og ved inntasting av tall, kommer hele tastatur opp, ikke bare talltastaturet. tas det snarveier i arbeidet?"
87,"August 8, 2019",5,alt er bra nå. først fjernet jeg det gamle fingeravtrykket under innlogging og installerte appen på nytt.
88,"August 20, 2019",5,takk for engelsk veldig bra app. skål!
89,"August 19, 2019",5,"den fungerer utmerket, med fingertrykk inlogging."
90,"July 26, 2019",5,kjempe app!
91,"August 6, 2019",4,den er bra
92,"August 17, 2019",5,👍
93,"July 18, 2019",5,good.
94,"July 21, 2019",5,good
95,"July 29, 2019",5,great
96,"July 16, 2019",5,it works
97,"July 14, 2019",5,enkelt
98,"July 7, 2019",4,"bra app, lett å bruke. selv om jeg savner at det samkjørte med engangskode appen, slik at det fyltes inn automatisk"
99,"July 7, 2019",5,"veldig bra, enkelt å bruke."
100,"July 7, 2019",5,veldig greit
101,"July 10, 2019",1,farlig påføring
102,"June 30, 2019",5,veldig greit ⭐⭐⭐⭐⭐
103,"July 1, 2019",5,supert
104,"July 2, 2019",5,good
105,"June 12, 2019",4,"edit: fungerer som bare det, anmeldelsen som nå er slettet var fra 2012"
106,"June 16, 2019",5,"sparebank 1 mobilbank gir en av de beste appopplevelsene der mange andre banker failer totalt. liker spesielt godt brukervennligheten, stabiliteten og at de utvikler og forbedrer konstant med nye spennende og nyttige funksjoner. denne appen er en av hovedgrunnene til at jeg fortsatt er kunde her."
107,"June 24, 2019",4,"god oversikt og får tilgang til alle tjenester hos sin sb1. ønsker en mulighet til å fjerne alle in-app spørsmål som går på rekkefølge og ""tips""."
108,"June 15, 2019",5,"veldig enkelt å håndtere, fungerer stort sett uten problemer og er sikkert. veldig fornøyd!"
109,"June 16, 2019",4,det hadde vart bra å kunne bruke google pay
110,"June 12, 2019",5,lett og oversiktlig.
111,"June 11, 2019",4,good app
112,"June 3, 2019",3,"virke fint, men til tider nede. som kan vere ganske dårligt, viss du må betale for noe eller bare see hvor mye penger du har ;)"
113,"June 5, 2019",5,"kjempebra app, alt er så mye enklere nå. anbefales sterkt."
114,"July 28, 2019",5,dette er fint 👍👍
115,"May 21, 2019",5,suppert
116,"May 20, 2019",4,good.
117,"May 14, 2019",4,pleasant
118,"May 7, 2019",5,definitivt den beste bankappen.
119,"May 10, 2019",4,😍
120,"May 10, 2019",5,good
121,"April 27, 2019",4,could you add english language!
122,"April 30, 2019",5,enkel i bruk og mange funksjoner
123,"May 5, 2019",5,veldig bra
124,"May 2, 2019",3,👌
125,"April 30, 2019",5,good
126,"April 12, 2019",5,enkelt og greit
127,"April 18, 2019",5,ok
128,"April 12, 2019",5,good app. 👍
129,"April 5, 2019",5,kjempeapp.
130,"March 27, 2019",4,enkel og oversiktlig. eneste jeg irriterer meg over er at å opprette efaktura må gjøres i nettbank på pc
131,"April 4, 2019",5,fungerer som den skal
132,"March 24, 2019",3,"brukeren blir kastet ut av appen ofte, så jeg må legge inn pin og fingeravtrykk gjentatte ganger"
133,"March 16, 2019",4,funker bra!
134,"March 15, 2019",5,super
135,"March 8, 2019",5,great to use when away from a desk computer. i updated my phone and the finger reader doesn't work anymore.
136,"March 6, 2019",1,det oppstår en feil hver gang jeg prøver å signere overføring/betaling med mobil bank id. dette er helt håpløst.
137,"March 12, 2019",5,fungerer kjempebra!!
138,"March 14, 2019",5,elsker den
139,"March 9, 2019",5,bra
140,"February 24, 2019",4,"bra app, men savner muligheten for å linke opp andre apper for å scanne regninger og bruke betalingsapper som google pay."
141,"February 28, 2019",4,mangler mulighet til å endre lagrede kontonummer. resten er bra
142,"February 26, 2019",5,super
143,"February 28, 2019",5,bra
144,"February 26, 2019",5,very nice
145,"February 25, 2019",5,perfect
146,"February 7, 2019",2,logger meg fullstendig ut hver gang jeg lukker appen! kundeservice vet tydeligvis lite når løsningen som blir foreslått er å sende hele telefonen på reparasjon!
147,"February 11, 2019",5,its ok
148,"February 12, 2019",5,very good!
149,"February 18, 2019",5,good
150,"January 24, 2019",5,"excelent update. i used to ""forget"" to pay invoices due to laziness to enter data feom invoic to app. now its easy eith a picture. please also introduce auto e-factura with mobil."
151,"January 19, 2019",3,"edit; v4.5.5 fungerer bra (etter feilen med 4.5.4) utover dette så er det synd det ikke er noen god søkefunksjon i tidligere betalinger/kontobevegelser, samt ingen utenlandsbetaling. appen burde kumne erstatte desktop versjon med tanke på funksjonalitet"
152,"January 21, 2019",5,dette er et flott program
153,"February 5, 2019",5,funke fjell
154,"January 21, 2019",5,👌
155,"January 19, 2019",5,great
156,"January 18, 2019",1,oppdateringen ødela appen. påstår at jeg ikke har internett.
157,"January 12, 2019",5,det er lettere å logge inn
158,"January 5, 2019",4,"lettvint og oversiktelig. litt rom for forbedring, feks vise saldo etter hver transakjon og ikke kun naavaerende saldo."
